Date,Regroupement,Croisement,Nom,psi_quo_pos_n
Date inconnue,Région,RSS01,01 - Bas-Saint-Laurent,0
Date inconnue,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
Date inconnue,Région,RSS03,03 - Capitale-Nationale,0
Date inconnue,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
Date inconnue,Région,RSS05,05 - Estrie,0
Date inconnue,Région,RSS06,06 - Montréal,0
Date inconnue,Région,RSS07,07 - Outaouais,0
Date inconnue,Région,RSS08,08 - Abitibi-Témiscamingue,0
Date inconnue,Région,RSS09,09 - Côte-Nord,0
Date inconnue,Région,RSS10,10 - Nord-du-Québec,0
Date inconnue,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
Date inconnue,Région,RSS12,12 - Chaudière-Appalaches,0
Date inconnue,Région,RSS13,13 - Laval,0
Date inconnue,Région,RSS14,14 - Lanaudière,0
Date inconnue,Région,RSS15,15 - Laurentides,0
Date inconnue,Région,RSS16,16 - Montérégie,0
Date inconnue,Région,RSS17,17 - Nunavik,0
Date inconnue,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
Date inconnue,Région,RSS00,Inconnu,0
Date inconnue,Région,RSS98,Hors Québec,0
Date inconnue,Région,RSS99,Ensemble du Québec,0
Date inconnue,Groupe de région,REG01,Montréal et Laval,0
Date inconnue,Groupe de région,REG02,Ceinture de Montréal,0
Date inconnue,Groupe de région,REG03,Autres régions,0
Date inconnue,Groupe de région,REG00,Inconnu,0
Date inconnue,Groupe de région,REG98,Hors Québec,0
Date inconnue,Groupe d'âge,0_9,0-9 ans,0
Date inconnue,Groupe d'âge,10_19,10-19 ans,0
Date inconnue,Groupe d'âge,20_29,20-29 ans,0
Date inconnue,Groupe d'âge,30_39,30-39 ans,0
Date inconnue,Groupe d'âge,40_49,40-49 ans,0
Date inconnue,Groupe d'âge,50_59,50-59 ans,0
Date inconnue,Groupe d'âge,60_69,60-69 ans,0
Date inconnue,Groupe d'âge,70_79,70-79 ans,0
Date inconnue,Groupe d'âge,80_89,80-89 ans,0
Date inconnue,Groupe d'âge,90_,90 ans et plus,0
Date inconnue,Groupe d'âge,INC,Inconnu,0
Date inconnue,Groupe d'âge,TOT,Total,0
Date inconnue,Sexe,MASC,Masculin,0
Date inconnue,Sexe,FEM,Féminin,0
Date inconnue,Sexe,INC,Inconnu,0
Date inconnue,Sexe,TOT,Total,0
2020-01-23,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-23,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-23,Région,RSS03,03 - Capitale-Nationale,0
2020-01-23,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-23,Région,RSS05,05 - Estrie,0
2020-01-23,Région,RSS06,06 - Montréal,0
2020-01-23,Région,RSS07,07 - Outaouais,0
2020-01-23,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-23,Région,RSS09,09 - Côte-Nord,0
2020-01-23,Région,RSS10,10 - Nord-du-Québec,0
2020-01-23,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-23,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-23,Région,RSS13,13 - Laval,0
2020-01-23,Région,RSS14,14 - Lanaudière,0
2020-01-23,Région,RSS15,15 - Laurentides,0
2020-01-23,Région,RSS16,16 - Montérégie,0
2020-01-23,Région,RSS17,17 - Nunavik,0
2020-01-23,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-23,Région,RSS00,Inconnu,0
2020-01-23,Région,RSS98,Hors Québec,0
2020-01-23,Région,RSS99,Ensemble du Québec,0
2020-01-23,Groupe de région,REG01,Montréal et Laval,0
2020-01-23,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-23,Groupe de région,REG03,Autres régions,0
2020-01-23,Groupe de région,REG00,Inconnu,0
2020-01-23,Groupe de région,REG98,Hors Québec,0
2020-01-23,Groupe d'âge,0_9,0-9 ans,0
2020-01-23,Groupe d'âge,10_19,10-19 ans,0
2020-01-23,Groupe d'âge,20_29,20-29 ans,0
2020-01-23,Groupe d'âge,30_39,30-39 ans,0
2020-01-23,Groupe d'âge,40_49,40-49 ans,0
2020-01-23,Groupe d'âge,50_59,50-59 ans,0
2020-01-23,Groupe d'âge,60_69,60-69 ans,0
2020-01-23,Groupe d'âge,70_79,70-79 ans,0
2020-01-23,Groupe d'âge,80_89,80-89 ans,0
2020-01-23,Groupe d'âge,90_,90 ans et plus,0
2020-01-23,Groupe d'âge,INC,Inconnu,0
2020-01-23,Groupe d'âge,TOT,Total,0
2020-01-23,Sexe,MASC,Masculin,0
2020-01-23,Sexe,FEM,Féminin,0
2020-01-23,Sexe,INC,Inconnu,0
2020-01-23,Sexe,TOT,Total,0
2020-01-24,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-24,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-24,Région,RSS03,03 - Capitale-Nationale,0
2020-01-24,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-24,Région,RSS05,05 - Estrie,0
2020-01-24,Région,RSS06,06 - Montréal,0
2020-01-24,Région,RSS07,07 - Outaouais,0
2020-01-24,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-24,Région,RSS09,09 - Côte-Nord,0
2020-01-24,Région,RSS10,10 - Nord-du-Québec,0
2020-01-24,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-24,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-24,Région,RSS13,13 - Laval,0
2020-01-24,Région,RSS14,14 - Lanaudière,0
2020-01-24,Région,RSS15,15 - Laurentides,0
2020-01-24,Région,RSS16,16 - Montérégie,0
2020-01-24,Région,RSS17,17 - Nunavik,0
2020-01-24,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-24,Région,RSS00,Inconnu,0
2020-01-24,Région,RSS98,Hors Québec,0
2020-01-24,Région,RSS99,Ensemble du Québec,0
2020-01-24,Groupe de région,REG01,Montréal et Laval,0
2020-01-24,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-24,Groupe de région,REG03,Autres régions,0
2020-01-24,Groupe de région,REG00,Inconnu,0
2020-01-24,Groupe de région,REG98,Hors Québec,0
2020-01-24,Groupe d'âge,0_9,0-9 ans,0
2020-01-24,Groupe d'âge,10_19,10-19 ans,0
2020-01-24,Groupe d'âge,20_29,20-29 ans,0
2020-01-24,Groupe d'âge,30_39,30-39 ans,0
2020-01-24,Groupe d'âge,40_49,40-49 ans,0
2020-01-24,Groupe d'âge,50_59,50-59 ans,0
2020-01-24,Groupe d'âge,60_69,60-69 ans,0
2020-01-24,Groupe d'âge,70_79,70-79 ans,0
2020-01-24,Groupe d'âge,80_89,80-89 ans,0
2020-01-24,Groupe d'âge,90_,90 ans et plus,0
2020-01-24,Groupe d'âge,INC,Inconnu,0
2020-01-24,Groupe d'âge,TOT,Total,0
2020-01-24,Sexe,MASC,Masculin,0
2020-01-24,Sexe,FEM,Féminin,0
2020-01-24,Sexe,INC,Inconnu,0
2020-01-24,Sexe,TOT,Total,0
2020-01-25,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-25,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-25,Région,RSS03,03 - Capitale-Nationale,0
2020-01-25,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-25,Région,RSS05,05 - Estrie,0
2020-01-25,Région,RSS06,06 - Montréal,0
2020-01-25,Région,RSS07,07 - Outaouais,0
2020-01-25,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-25,Région,RSS09,09 - Côte-Nord,0
2020-01-25,Région,RSS10,10 - Nord-du-Québec,0
2020-01-25,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-25,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-25,Région,RSS13,13 - Laval,0
2020-01-25,Région,RSS14,14 - Lanaudière,0
2020-01-25,Région,RSS15,15 - Laurentides,0
2020-01-25,Région,RSS16,16 - Montérégie,0
2020-01-25,Région,RSS17,17 - Nunavik,0
2020-01-25,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-25,Région,RSS00,Inconnu,0
2020-01-25,Région,RSS98,Hors Québec,0
2020-01-25,Région,RSS99,Ensemble du Québec,0
2020-01-25,Groupe de région,REG01,Montréal et Laval,0
2020-01-25,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-25,Groupe de région,REG03,Autres régions,0
2020-01-25,Groupe de région,REG00,Inconnu,0
2020-01-25,Groupe de région,REG98,Hors Québec,0
2020-01-25,Groupe d'âge,0_9,0-9 ans,0
2020-01-25,Groupe d'âge,10_19,10-19 ans,0
2020-01-25,Groupe d'âge,20_29,20-29 ans,0
2020-01-25,Groupe d'âge,30_39,30-39 ans,0
2020-01-25,Groupe d'âge,40_49,40-49 ans,0
2020-01-25,Groupe d'âge,50_59,50-59 ans,0
2020-01-25,Groupe d'âge,60_69,60-69 ans,0
2020-01-25,Groupe d'âge,70_79,70-79 ans,0
2020-01-25,Groupe d'âge,80_89,80-89 ans,0
2020-01-25,Groupe d'âge,90_,90 ans et plus,0
2020-01-25,Groupe d'âge,INC,Inconnu,0
2020-01-25,Groupe d'âge,TOT,Total,0
2020-01-25,Sexe,MASC,Masculin,0
2020-01-25,Sexe,FEM,Féminin,0
2020-01-25,Sexe,INC,Inconnu,0
2020-01-25,Sexe,TOT,Total,0
2020-01-26,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-26,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-26,Région,RSS03,03 - Capitale-Nationale,0
2020-01-26,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-26,Région,RSS05,05 - Estrie,0
2020-01-26,Région,RSS06,06 - Montréal,0
2020-01-26,Région,RSS07,07 - Outaouais,0
2020-01-26,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-26,Région,RSS09,09 - Côte-Nord,0
2020-01-26,Région,RSS10,10 - Nord-du-Québec,0
2020-01-26,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-26,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-26,Région,RSS13,13 - Laval,0
2020-01-26,Région,RSS14,14 - Lanaudière,0
2020-01-26,Région,RSS15,15 - Laurentides,0
2020-01-26,Région,RSS16,16 - Montérégie,0
2020-01-26,Région,RSS17,17 - Nunavik,0
2020-01-26,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-26,Région,RSS00,Inconnu,0
2020-01-26,Région,RSS98,Hors Québec,0
2020-01-26,Région,RSS99,Ensemble du Québec,0
2020-01-26,Groupe de région,REG01,Montréal et Laval,0
2020-01-26,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-26,Groupe de région,REG03,Autres régions,0
2020-01-26,Groupe de région,REG00,Inconnu,0
2020-01-26,Groupe de région,REG98,Hors Québec,0
2020-01-26,Groupe d'âge,0_9,0-9 ans,0
2020-01-26,Groupe d'âge,10_19,10-19 ans,0
2020-01-26,Groupe d'âge,20_29,20-29 ans,0
2020-01-26,Groupe d'âge,30_39,30-39 ans,0
2020-01-26,Groupe d'âge,40_49,40-49 ans,0
2020-01-26,Groupe d'âge,50_59,50-59 ans,0
2020-01-26,Groupe d'âge,60_69,60-69 ans,0
2020-01-26,Groupe d'âge,70_79,70-79 ans,0
2020-01-26,Groupe d'âge,80_89,80-89 ans,0
2020-01-26,Groupe d'âge,90_,90 ans et plus,0
2020-01-26,Groupe d'âge,INC,Inconnu,0
2020-01-26,Groupe d'âge,TOT,Total,0
2020-01-26,Sexe,MASC,Masculin,0
2020-01-26,Sexe,FEM,Féminin,0
2020-01-26,Sexe,INC,Inconnu,0
2020-01-26,Sexe,TOT,Total,0
2020-01-27,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-27,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-27,Région,RSS03,03 - Capitale-Nationale,0
2020-01-27,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-27,Région,RSS05,05 - Estrie,0
2020-01-27,Région,RSS06,06 - Montréal,0
2020-01-27,Région,RSS07,07 - Outaouais,0
2020-01-27,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-27,Région,RSS09,09 - Côte-Nord,0
2020-01-27,Région,RSS10,10 - Nord-du-Québec,0
