date,cases
2022-04-01,3009
2022-04-02,2392
2022-04-03,2292
2022-04-04,3439
2022-04-05,3770
2022-04-06,3566
2022-04-07,3599
2022-04-08,2977
2022-04-09,2622
2022-04-10,2463
2022-04-11,2930
2022-04-12,3578
2022-04-13,3469
2022-04-14,2946
2022-04-15,2341
2022-04-16,1809
2022-04-17,1632
2022-04-18,2099
2022-04-19,2788
2022-04-20,2959
2022-04-21,2416
2022-04-22,2133
2022-04-23,1431
2022-04-24,1457
2022-04-25,1986
2022-04-26,1962
2022-04-27,1812
2022-04-28,1770
2022-04-29,1444
2022-04-30,1046
2022-05-01,921
2022-05-02,1552
2022-05-03,1596
2022-05-04,1305
2022-05-05,1251
2022-05-06,1050
2022-05-07,736
2022-05-08,721
2022-05-09,967
2022-05-10,1123
2022-05-11,941
2022-05-12,858
2022-05-13,782
2022-05-14,605
2022-05-15,539
2022-05-16,738
2022-05-17,710
2022-05-18,643
2022-05-19,558
2022-05-20,530
2022-05-21,392
2022-05-22,406
2022-05-23,576
2022-05-24,682
2022-05-25,698
2022-05-26,590
2022-05-27,534
2022-05-28,434
2022-05-29,423
2022-05-30,692
2022-05-31,720
2022-06-01,795
2022-06-02,605
2022-06-03,503
2022-06-04,450
2022-06-05,456
2022-06-06,798
2022-06-07,728
2022-06-08,814
2022-06-09,762
2022-06-10,630
2022-06-11,518
2022-06-12,533
2022-06-13,872
2022-06-14,839
2022-06-15,977
2022-06-16,899
2022-06-17,768
2022-06-18,658
2022-06-19,609
2022-06-20,1089
2022-06-21,1172
2022-06-22,1355
2022-06-23,1108
2022-06-24,923
2022-06-25,829
2022-06-26,865
2022-06-27,1636
2022-06-28,1771
2022-06-29,1725
2022-06-30,1654
2022-07-01,1197
2022-07-02,1145
2022-07-03,1141
2022-07-04,2071
2022-07-05,1904
2022-07-06,2021
2022-07-07,1795
2022-07-08,1528
2022-07-09,1234
2022-07-10,1244
2022-07-11,2016
2022-07-12,2204
2022-07-13,2336
2022-07-14,1914
2022-07-15,2003
2022-07-16,1526
2022-07-17,1402
2022-07-18,2145
2022-07-19,2403
2022-07-20,2080
2022-07-21,1951
2022-07-22,1606
2022-07-23,1283
2022-07-24,1278
2022-07-25,1800
2022-07-26,1802
2022-07-27,1574
2022-07-28,1461
2022-07-29,1340
2022-07-30,981
2022-07-31,970
2022-08-01,1386
2022-08-02,1447
2022-08-03,1341
2022-08-04,1042
2022-08-05,1097
2022-08-06,786
2022-08-07,788
2022-08-08,1271
2022-08-09,1136
2022-08-10,1171
2022-08-11,1193
2022-08-12,919
2022-08-13,779
2022-08-14,715
2022-08-15,1224
2022-08-16,1263
2022-08-17,1123
2022-08-18,998
2022-08-19,864
2022-08-20,687
2022-08-21,646
2022-08-22,948
2022-08-23,1025
2022-08-24,906
2022-08-25,770
2022-08-26,761
2022-08-27,571
2022-08-28,489
2022-08-29,804
2022-08-30,957
2022-08-31,844
2022-09-01,802
2022-09-02,663
2022-09-03,478
2022-09-04,455
2022-09-05,615
2022-09-06,917
2022-09-07,867
2022-09-08,870
2022-09-09,652
2022-09-10,579
2022-09-11,566
2022-09-12,919
2022-09-13,846
2022-09-14,778
2022-09-15,753
2022-09-16,632
2022-09-17,464
2022-09-18,601
2022-09-19,928
2022-09-20,913
2022-09-21,851
2022-09-22,868
2022-09-23,770
2022-09-24,636
2022-09-25,603
2022-09-26,970
2022-09-27,1082
2022-09-28,1031
2022-09-29,893
2022-09-30,882
2022-10-01,603
2022-10-02,723
2022-10-03,955
2022-10-04,1106
2022-10-05,977
2022-10-06,1031
2022-10-07,931
2022-10-08,628
2022-10-09,706
2022-10-10,780
2022-10-11,1101
2022-10-12,1237
2022-10-13,1058
2022-10-14,1016
2022-10-15,709
2022-10-16,648
2022-10-17,1053
2022-10-18,1081
2022-10-19,1027
2022-10-20,905
2022-10-21,762
2022-10-22,591
2022-10-23,596
2022-10-24,1066
2022-10-25,1011
2022-10-26,989
2022-10-27,934
2022-10-28,835
2022-10-29,549
2022-10-30,558
2022-10-31,895
2022-11-01,1033
2022-11-02,867
2022-11-03,933
2022-11-04,815
2022-11-05,605
2022-11-06,636
2022-11-07,926
2022-11-08,912
2022-11-09,889
2022-11-10,727
2022-11-11,672
2022-11-12,519
2022-11-13,523
2022-11-14,814
2022-11-15,1034
2022-11-16,839
2022-11-17,795
2022-11-18,709
2022-11-19,610
2022-11-20,618
2022-11-21,972
2022-11-22,1074
