date,cases
2020-03-11,2
2020-03-12,2
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,5
2020-03-17,4
2020-03-18,8
2020-03-19,48
2020-03-20,75
2020-03-21,139
2020-03-22,171
2020-03-23,258
2020-03-24,220
2020-03-25,249
2020-03-26,344
2020-03-27,433
2020-03-28,405
2020-03-29,500
2020-03-30,603
2020-03-31,753
2020-04-01,574
2020-04-02,715
2020-04-03,613
2020-04-04,623
2020-04-05,506
2020-04-06,612
2020-04-07,820
2020-04-08,553
2020-04-09,808
2020-04-10,563
2020-04-11,652
2020-04-12,821
2020-04-13,860
2020-04-14,1051
2020-04-15,884
2020-04-16,862
2020-04-17,834
2020-04-18,687
2020-04-19,657
2020-04-20,699
2020-04-21,669
2020-04-22,795
2020-04-23,746
2020-04-24,776
2020-04-25,675
2020-04-26,604
2020-04-27,692
2020-04-28,808
2020-04-29,847
2020-04-30,811
2020-05-01,845
2020-05-02,758
2020-05-03,731
2020-05-04,570
2020-05-05,844
2020-05-06,876
2020-05-07,788
2020-05-08,692
2020-05-09,606
2020-05-10,670
2020-05-11,560
2020-05-12,629
2020-05-13,680
2020-05-14,715
2020-05-15,694
2020-05-16,736
2020-05-17,625
2020-05-18,545
2020-05-19,629
2020-05-20,658
2020-05-21,654
2020-05-22,512
2020-05-23,501
2020-05-24,542
2020-05-25,358
2020-05-26,397
2020-05-27,411
2020-05-28,384
2020-05-29,382
2020-05-30,367
2020-05-31,247
2020-06-01,254
2020-06-02,229
2020-06-03,234
2020-06-04,236
2020-06-05,236
2020-06-06,212
2020-06-07,157
2020-06-08,118
2020-06-09,172
2020-06-10,155
2020-06-11,141
2020-06-12,151
2020-06-13,106
2020-06-14,84
2020-06-15,91
2020-06-16,100
2020-06-17,115
2020-06-18,103
2020-06-19,96
2020-06-20,89
2020-06-21,75
2020-06-22,67
2020-06-23,77
2020-06-24,82
2020-06-25,69
2020-06-26,61
2020-06-27,74
2020-06-28,52
2020-06-29,33
2020-06-30,87
2020-07-01,83
2020-07-02,70
2020-07-03,87
2020-07-04,92
2020-07-05,53
2020-07-06,65
2020-07-07,105
2020-07-08,123
2020-07-09,121
2020-07-10,97
2020-07-11,108
2020-07-12,74
2020-07-13,137
2020-07-14,123
2020-07-15,155
2020-07-16,137
2020-07-17,177
2020-07-18,195
2020-07-19,111
2020-07-20,144
2020-07-21,193
2020-07-22,187
2020-07-23,161
2020-07-24,153
2020-07-25,145
2020-07-26,106
2020-07-27,113
2020-07-28,138
2020-07-29,173
2020-07-30,160
2020-07-31,123
2020-08-01,123
2020-08-02,102
2020-08-03,140
2020-08-04,148
2020-08-05,130
2020-08-06,106
2020-08-07,124
2020-08-08,120
2020-08-09,91
2020-08-10,82
2020-08-11,112
2020-08-12,100
2020-08-13,83
2020-08-14,65
2020-08-15,60
2020-08-16,48
2020-08-17,54
2020-08-18,89
2020-08-19,93
2020-08-20,107
2020-08-21,102
2020-08-22,89
2020-08-23,47
2020-08-24,54
2020-08-25,126
2020-08-26,132
2020-08-27,104
2020-08-28,131
2020-08-29,120
2020-08-30,119
2020-08-31,133
2020-09-01,186
2020-09-02,168
2020-09-03,218
2020-09-04,203
2020-09-05,220
2020-09-06,193
2020-09-07,151
2020-09-08,208
2020-09-09,249
2020-09-10,245
2020-09-11,346
2020-09-12,331
2020-09-13,286
2020-09-14,253
2020-09-15,325
2020-09-16,325
2020-09-17,362
2020-09-18,496
2020-09-19,450
2020-09-20,502
2020-09-21,510
2020-09-22,536
2020-09-23,661
2020-09-24,738
2020-09-25,790
2020-09-26,876
2020-09-27,922
2020-09-28,870
2020-09-29,975
2020-09-30,1070
2020-10-01,1115
2020-10-02,1306
2020-10-03,1040
2020-10-04,922
2020-10-05,807
2020-10-06,1096
2020-10-07,997
2020-10-08,1102
2020-10-09,1062
2020-10-10,965
2020-10-11,982
2020-10-12,696
2020-10-13,1026
2020-10-14,1180
2020-10-15,1174
2020-10-16,1251
2020-10-17,896
2020-10-18,796
2020-10-19,882
2020-10-20,1063
2020-10-21,973
2020-10-22,921
2020-10-23,1028
2020-10-24,896
2020-10-25,895
2020-10-26,718
2020-10-27,1072
2020-10-28,930
2020-10-29,1016
2020-10-30,975
2020-10-31,1067
2020-11-01,914
2020-11-02,829
2020-11-03,1067
2020-11-04,1142
2020-11-05,1337
2020-11-06,1262
2020-11-07,1273
2020-11-08,1217
2020-11-09,1301
2020-11-10,1266
2020-11-11,1261
2020-11-12,1396
2020-11-13,1416
2020-11-14,1138
2020-11-15,1110
2020-11-16,1033
2020-11-17,1264
2020-11-18,1248
2020-11-19,1184
2020-11-20,1145
2020-11-21,1091
2020-11-22,1275
2020-11-23,987
2020-11-24,1278
2020-11-25,1430
2020-11-26,1374
2020-11-27,1415
2020-11-28,1273
2020-11-29,1247
2020-11-30,1411
2020-12-01,1588
2020-12-02,1607
2020-12-03,1711
2020-12-04,1594
2020-12-05,1703
2020-12-06,1499
2020-12-07,1495
2020-12-08,1750
2020-12-09,1798
2020-12-10,1821
2020-12-11,2006
2020-12-12,1868
2020-12-13,1686
2020-12-14,1885
2020-12-15,1868
2020-12-16,2126
2020-12-17,2194
2020-12-18,2029
2020-12-19,2166
2020-12-20,1996
2020-12-21,2004
2020-12-22,2208
2020-12-23,2377
2020-12-24,2417
2020-12-25,2323
2020-12-26,2060
2020-12-27,2240
2020-12-28,2149
2020-12-29,3105
2020-12-30,3009
2020-12-31,2556
2021-01-01,2430
2021-01-02,2289
2021-01-03,2343
2021-01-04,2514
2021-01-05,2637
2021-01-06,2653
2021-01-07,2799
2021-01-08,2526
2021-01-09,1986
2021-01-10,2242
2021-01-11,1842
2021-01-12,2167
2021-01-13,2053
2021-01-14,1966
2021-01-15,2009
2021-01-16,1782
2021-01-17,1376
2021-01-18,1377
2021-01-19,1578
2021-01-20,1614
2021-01-21,1676
2021-01-22,1500
2021-01-23,1390
2021-01-24,1148
2021-01-25,1178
2021-01-26,1353
2021-01-27,1268
2021-01-28,1314
2021-01-29,1280
2021-01-30,1213
2021-01-31,918
2021-02-01,890
2021-02-02,1180
2021-02-03,1108
2021-02-04,1007
2021-02-05,1235
2021-02-06,1080
2021-02-07,821
2021-02-08,751
2021-02-09,931
2021-02-10,1154
2021-02-11,973
2021-02-12,1036
2021-02-13,816
2021-02-14,717
2021-02-15,668
2021-02-16,808
2021-02-17,791
2021-02-18,859
2021-02-19,756
2021-02-20,753
2021-02-21,794
2021-02-22,620
2021-02-23,808
2021-02-24,842
2021-02-25,774
2021-02-26,878
2021-02-27,666
2021-02-28,573
2021-03-01,527
2021-03-02,825
2021-03-03,737
2021-03-04,865
2021-03-05,737
2021-03-06,688
2021-03-07,579
2021-03-08,596
2021-03-09,743
2021-03-10,715
2021-03-11,922
2021-03-12,818
2021-03-13,640
2021-03-14,571
2021-03-15,664
2021-03-16,1054
2021-03-17,916
2021-03-18,826
