param,grid,negloglik
k,0.5,1e+50
k,0.9791666666666667,1e+50
k,1.4583333333333335,1e+50
k,1.9375,1e+50
k,2.416666666666667,1e+50
k,2.8958333333333335,1e+50
k,3.375,1e+50
k,3.854166666666667,1e+50
k,4.333333333333334,1e+50
k,4.8125,1e+50
k,5.291666666666667,1e+50
k,5.770833333333334,1e+50
k,6.25,1e+50
k,6.729166666666667,1e+50
k,7.208333333333334,1e+50
k,7.6875,1e+50
k,8.166666666666668,1e+50
k,8.645833333333334,1e+50
k,9.125,1e+50
k,9.604166666666668,1e+50
k,10.083333333333334,1e+50
k,10.5625,1e+50
k,11.041666666666668,1e+50
k,11.520833333333334,1e+50
k,12.0,1e+50
