mu,inc,y
0.0,0.0,2.0
0.12706441333340296,1.0246965615078807,2.0
0.44590495743621716,1.5852193874306977,1.0
1.0036102899585586,3.1526833830866963,1.0
2.061514638127898,6.280006376095116,2.0
4.141439327841611,12.528935384005308,5.0
8.28394752597415,25.061394669115543,4.0
16.566778240307023,50.14177340839524,8.0
33.10163639171476,100.01874217076693,48.0
65.82977392713943,197.53371104074176,75.0
129.0444929611004,379.3549414660083,139.0
243.50559993579566,676.7439796221443,171.0
421.97394393341597,1021.3664094592677,258.0
636.6054187713471,1191.3417791556567,220.0
825.7156273725737,1158.499578793184,249.0
951.9163455687387,1106.6153216839302,344.0
1020.9402688787274,1084.0645587421022,433.0
1053.6040649247198,1075.2076755985618,405.0
1066.877976573232,1070.6315428939415,500.0
1070.817205564148,1067.1815743148327,603.0
1070.544258950566,1063.8528426007833,753.0
1068.4200754966314,1060.3116944689536,574.0
1065.4392240377842,1056.4461838400457,715.0
1061.977854463698,1052.224991654628,613.0
1058.155432689613,1047.6493057435146,623.0
1053.9961345609495,1042.734627321246,506.0
1049.4976421191675,1037.5030880604172,612.0
1044.6687066058948,1031.9799148180755,820.0
1039.5497846168655,1026.191676676157,553.0
1034.1755950581478,1020.1653720355825,808.0
1028.5519759083754,1013.9279217398725,563.0
1022.6881756414276,1007.5058735839557,652.0
1016.6036850351335,1000.9252183205681,821.0
1010.3223560611723,994.2112590116449,860.0
1003.8692243449204,987.3885155911557,1051.0
997.2693242820769,980.480653519393,884.0
990.5472158315694,973.5104060228914,862.0
983.7267569661497,966.499515546835,834.0
976.830970520342,959.4686780909542,687.0
969.8819523086104,952.4374931805069,657.0
962.9007998715633,945.4244171625469,699.0
955.9075529039815,938.4467203147942,669.0
948.9211428804763,931.5204609094653,795.0
941.9593503941196,924.6604542159475,746.0
935.0387677095393,917.8802436217666,776.0
928.1747693300092,911.1921083189081,675.0
921.3814915244727,904.6070539811626,604.0
914.671819804078,898.1348252125317,692.0
908.057375722549,891.7838468748378,808.0
901.5485259781711,885.5614338718588,847.0
895.1543719457044,879.473408928141,811.0
888.8827762739461,873.5247720570769,845.0
882.7404003019071,867.7191503426293,758.0
876.7327668170568,862.059536995017,731.0
870.8642870596152,856.5474063260481,570.0
865.1382605198497,851.1834210435627,844.0
859.5569545959072,845.9675144358771,876.0
854.1216807758575,840.898734275368,788.0
848.8328568955985,835.9754322610097,692.0
843.6900822131165,831.195352410432,606.0
838.6922087395915,826.5556299067102,670.0
833.8374162577486,822.0529673937708,560.0
829.1232937731288,817.6836626267759,629.0
824.5469096506622,813.4436304350384,680.0
820.1049004179204,809.3286956595257,715.0
815.7935239139375,805.3341648698552,694.0
811.6086945588753,801.4552540624281,736.0
807.5460902864604,797.6873939919751,625.0
803.6012397195182,794.0258201363031,545.0
799.7695601584821,790.4657613033196,629.0
796.0464018590624,787.0025180487428,658.0
792.4272305995457,783.6325683791656,654.0
788.907145035013,780.3472221733537,512.0
785.4814958088157,777.1478997179074,501.0
782.1460793132919,774.0274962540716,542.0
