param,grid,negloglik
beta0,0.05,5131.365681780545
beta0,0.0975,5097.0799028297615
beta0,0.14500000000000002,5098.182055459254
beta0,0.1925,5097.068287753321
beta0,0.24,5119.147610086902
beta0,0.2875,5099.246571948571
beta0,0.335,5097.04290874556
beta0,0.3825,5104.519097908438
beta0,0.43,5097.022617185562
beta0,0.4775,5097.020137781036
beta0,0.525,5097.041374037676
beta0,0.5725,5217.175530489341
beta0,0.6200000000000001,5320.412787758815
beta0,0.6675000000000001,5097.092060814121
beta0,0.7150000000000001,5097.131531705245
beta0,0.7625000000000001,5097.065860050791
beta0,0.81,5097.006530742753
beta0,0.8575,5097.03852062885
beta0,0.905,5096.99986098695
beta0,0.9525,5097.028274003482
beta0,1.0,5097.023056533674
