param,grid,negloglik
alpha,0.0,5096.999211341689
alpha,0.1,5097.011829864111
alpha,0.2,5097.011996913094
alpha,0.30000000000000004,5097.011820236703
alpha,0.4,5097.061878932681
alpha,0.5,5097.000903595084
alpha,0.6000000000000001,5097.0273729708815
alpha,0.7000000000000001,5097.027512579537
alpha,0.8,5097.006457227513
alpha,0.9,5098.257126403902
alpha,1.0,5097.220217679727
alpha,1.1,5097.012280172886
alpha,1.2000000000000002,5101.028224164618
alpha,1.3,5097.047281441912
alpha,1.4000000000000001,5097.042283918978
alpha,1.5,5098.264418672806
alpha,1.6,5097.043326775793
alpha,1.7000000000000002,5097.077568451978
alpha,1.8,5098.264270484925
alpha,1.9000000000000001,5097.033116115152
alpha,2.0,5097.025295755192
