param,grid,negloglik
beta0,0.05,1303174.5696705256
beta0,0.0975,1209348.8799640578
beta0,0.14500000000000002,1104110.7341410345
beta0,0.1925,961148.0860751396
beta0,0.24,793157.8584470742
beta0,0.2875,627802.9809725118
beta0,0.335,2170.4038865052894
beta0,0.3825,2299.883654815755
beta0,0.43,2171.0732763687697
beta0,0.4775,2170.8599054030396
beta0,0.525,2170.4532238553015
beta0,0.5725,2170.4995997458655
beta0,0.6200000000000001,2170.4921278985144
beta0,0.6675000000000001,2168.4118481257156
beta0,0.7150000000000001,2168.2260101817433
beta0,0.7625000000000001,2170.9511688374237
beta0,0.81,2176.096615150733
beta0,0.8575,2176.3909611383524
beta0,0.905,2176.527330796296
beta0,0.9525,2177.631144866998
beta0,1.0,2176.7645815886094
