mu,inc,y
1e-12,0.0,1291.0
3.108044086666654,793.6137978490442,1463.0
49.50537904721664,919.0293225031346,1393.0
181.62789128511162,1069.0644808169454,1258.0
378.4713851704996,1248.6505363304168,1152.0
597.6465141533523,1463.7675630785525,1292.0
815.3278904933975,1721.536885932088,1557.0
1029.861044972972,2030.2667795289308,1987.0
1251.5832628570927,2399.404056785628,1981.0
1494.341802827909,2839.3088249340653,2029.0
1771.6695938046553,3360.7334378454834,1715.0
2095.93306382016,3973.854317570105,1642.0
2478.5584076233527,4686.696221735328,2164.0
2930.257536398081,5502.841804752126,2673.0
3460.794311041699,6418.4955147095025,3360.0
4078.133275978147,7419.312567587942,4038.0
4786.849839516249,8477.891965938732,4325.0
5586.496236307978,9553.278661586344,4704.0
6468.96652830295,10593.788806926459,4404.0
7416.8664887695,11543.607101991773,6582.0
8402.800794163983,12351.930496009067,8282.0
9390.501976355537,12981.866549052298,11399.0
10338.104395336108,13415.861885178834,11793.0
11203.157750238215,13656.091886166483,11646.0
11948.261391435763,13720.327663501725,10582.0
12545.87090338324,13635.583692129701,10504.0
12981.084074747483,13431.968981740996,13446.0
13251.92914251147,13138.217614457011,15472.0
13367.482392780776,12779.24679705128,18775.0
13344.676115564684,12375.340163638815,18683.0
13204.775482267156,11942.336635258049,16993.0
12970.285854131283,11492.279843030497,14798.0
12662.692359036426,11034.181704020128,14130.0
12301.103419804027,10574.721827587113,14031.0
11901.657839193036,10118.826833870262,17659.0
11477.469501632899,9670.107180584222,17919.0
11038.887939923008,9231.193584462628,16405.0
10593.90206929474,8803.980543466285,13799.0
10148.574028142446,8389.805115677416,9286.0
9707.440405810097,7989.5792872570455,8225.0
9273.853542235835,7603.889109926298,7421.0
8850.25718354686,7233.06732785888,7442.0
8438.401852898656,6877.251572884619,6915.0
8039.509748614808,6536.4275510739535,6376.0
7654.39974303432,6210.462570762262,5514.0
7283.581826422989,5899.132670437917,5203.0
6927.328595048865,5602.14393404685,4257.0
6585.729702524584,5319.149862898514,4595.0
6258.733713842834,5049.764885142446,5209.0
5946.180588816732,4793.574230886996,4932.0
5647.827059946896,4550.144815931097,4518.0
5363.366625145998,4319.03124807775,4025.0
5092.445476266878,4099.781813636422,3248.0
4834.675230799918,3891.943261252716,2756.0
4589.643129410347,3695.0644825380296,3463.0
4356.920227141787,3508.6995730493218,4175.0
4136.06798372299,3332.4102110322565,3671.0
3926.643567177367,3165.7675975980237,3602.0
3728.2041176393955,3008.3537230659276,3257.0
3540.310156945414,2859.762490280904,2687.0
3362.5282885985666,2719.6008123494685,2516.0
3194.433330242991,2587.4888331247494,3156.0
3035.609986194876,2463.0607973225415,3809.0
2885.6541443760802,2345.9652704149485,3532.0
2744.1738820120986,2235.864407317713,2911.0
2610.7901896683697,2132.4349071290344,2880.0
2485.137449504505,2035.3677788283676,2240.0
2366.8637652795874,1944.3682514484972,2110.0
2255.631184770124,1859.1556121530011,2935.0
2151.1158208957677,1779.4627172881737,3065.0
2053.0078674249717,1705.0366168450564,2669.0
1961.01155069922,1635.6380020286888,2425.0
1874.8450681394982,1571.040786523372,2129.0
1794.2404943299116,1511.0331472419202,1566.0
1718.9436865595424,1455.4157669162378,1575.0
1648.714187666687,1404.0029026186094,1934.0
1583.3250929411631,1356.622189745307,1981.0
1522.562940374517,1313.1142383664846,1894.0
1466.2276317368437,1273.3339497130364,1710.0
1414.1324109305708,1237.148570078425,1477.0
1366.1038698056445,1204.4396700290963,1170.0
1321.981950788729,1175.1026229336858,1180.0
1281.6200177184235,1149.047127308324,1619.0
1244.8849947209435,1126.1973735606298,1634.0
1211.6575556036787,1106.4922918854281,1454.0
1181.832346470561,1089.886955213733,1315.0
1155.318283340641,1076.3525514258072,1044.0
1132.03895643728,1065.8768602069467,951.0
1111.9330965631102,1058.4671018877998,910.0
1094.9551703550358,1054.148405966349,1288.0
1081.076104997728,1052.9659715462476,1199.0
1070.2840413327444,1054.987136444077,1143.0
1062.5852039050617,1060.3023484293371,1218.0
1058.0049657998975,1069.0270042829216,1047.0
1056.589085010968,1081.3034381326288,807.0
1058.4050995201203,1097.3031063275412,784.0
1063.5438947896998,1117.2289821878076,1292.0
1072.1214595566712,1141.3181550232694,1327.0
1084.2808402680648,1169.8446081187576,1231.0
1100.1942972436295,1203.1221331981942,1109.0
1120.0656571728357,1241.507311893627,1000.0
1144.1328458476548,1285.4024592628703,745.0
1172.670569083134,1335.2583772353828,719.0
1205.9930881535997,1391.576704069972,1302.0
1244.4570080613369,1454.9115714104846,1426.0
1288.4639575307149,1525.8703442551196,1506.0
1338.4629953468216,1605.111924706027,1350.0
1394.9524842409749,1693.3443089015782,1209.0
1458.4811157254017,1791.3175578080118,946.0
1529.6476910954348,1899.813909043558,1086.0
1609.099115287158,2019.6311601316556,1707.0
1697.5259024062727,2151.5607530390844,2276.0
1795.654335198008,2296.3571708612144,2376.0
1904.234309513348,2454.6964783752337,2200.0
2024.0216763771923,2627.126845452003,2139.0
2155.7538394466756,2814.0045483345166,1636.0
2300.1173889321653,3015.420084941201,1770.0
2457.7065911766995,3231.1130359619856,2897.0
2628.9719046392443,3460.383837499656,3142.0
2814.1584633172406,3702.001296031289,3551.0
3013.2355125244794,3954.1260467600077,3098.0
