,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
beta0,0.8938780658939022
gamma,0.2915272338052354
alpha,0.8154377431358499
rho_obs,0.14273014478928248
delta,0.18907468420973092
k,1.142875372256316
log_theta,1.1716002808631736
I0,3239.4672404266753
C0,38.314561611778146
P0,0.0
F0,0.4991877901649599
R0,1257.7918162828357
a1,-0.22517883159807553
b1,-0.12051823005259484
a2,-0.0323785516509571
b2,0.10192117200726014
delay_mean,3.2825540399172524
