param,grid,negloglik
beta0,0.05,1431.25297932789
beta0,0.0975,1167.1323590817203
beta0,0.14500000000000002,1180.8657295366238
beta0,0.1925,1162.664662128509
beta0,0.24,1111.7379335537448
beta0,0.2875,1266.5180569677152
beta0,0.335,823559.3166030935
beta0,0.3825,1264.892239976245
beta0,0.43,1264.258335273912
beta0,0.4775,667969.7714342007
beta0,0.525,610862.075844354
beta0,0.5725,1150.9773740429373
beta0,0.6200000000000001,1056.7239222146613
beta0,0.6675000000000001,391973.13392354385
beta0,0.7150000000000001,1159.4535971596388
beta0,0.7625000000000001,1324.011751085532
beta0,0.81,1336.7117626819177
beta0,0.8575,1346.5067156710038
beta0,0.905,1354.657300617264
beta0,0.9525,2506.547003589244
beta0,1.0,1367.8078521688178
