param,grid,negloglik
alpha,0.0,5990053.982204562
alpha,0.1,54736.954803088556
alpha,0.2,54730.460241662266
alpha,0.30000000000000004,54731.14830886444
alpha,0.4,54730.048542098
alpha,0.5,54730.23881546799
alpha,0.6000000000000001,54730.22002170009
alpha,0.7000000000000001,54952.71560390948
alpha,0.8,54731.79822459214
alpha,0.9,54730.081751005186
alpha,1.0,54730.0733454288
alpha,1.1,54732.33394164535
alpha,1.2000000000000002,54730.07457491537
alpha,1.3,54730.07311562647
alpha,1.4000000000000001,54730.36260308511
alpha,1.5,54730.11119303766
alpha,1.6,54730.568318913414
alpha,1.7000000000000002,54730.247249036845
alpha,1.8,54730.07837639893
alpha,1.9000000000000001,54731.54009581219
alpha,2.0,54730.35899836642
